Movies Names,Rating out of 10,Count of Ratings,Release Date,Budget,Domestic Gross,Domestic Gross2,Domestic Weekend Gross,Domestic Weekend,Domestic Weekend Gross Date,Worldwide Gross
Gone with the Wind,8.2,333K,"July 8, 2020 (India)","$3,977,000 (estimated)",US & Canada,$200882193,US & Canada,$1192593,Jun 28 1998,"$402,382,193"
V for Vendetta,8.2,1.2M,"October 4, 2017 (India)","$54,000,000 (estimated)",US & Canada,$70511035,US & Canada,$25642340,Mar 19 2006,"$134,686,457"
"Lock, Stock and Two Smoking Barrels",8.1,615K,"August 28, 1998 (United Kingdom)","£960,000 (estimated)",US & Canada,$3753929,US & Canada,$143321,Mar 7 1999,"$3,753,929"
El Secreto De Sus Ojos,8.2,222K,"August 13, 2009 (Argentina)","$2,000,000 (estimated)",US & Canada,$6391436,US & Canada,$167866,Apr 18 2010,"$35,079,650"
Inside Out,8.1,782K,"June 26, 2015 (India)","$175,000,000 (estimated)",US & Canada,$356921711,US & Canada,$90440272,Jun 21 2015,"$858,852,998"
Raging Bull,8.1,379K,"December 19, 1980 (United States)","$18,000,000 (estimated)",US & Canada,$23383987,US & Canada,$128590,Nov 16 1980,"$23,406,933"
"Three Billboards Outside Ebbing, Missouri",8.1,553K,"February 23, 2018 (India)","$15,000,000 (estimated)",US & Canada,$54513740,US & Canada,$322168,Nov 12 2017,"$162,729,321"
Trainspotting,8.1,724K,"February 23, 1996 (United Kingdom)","£1,500,000 (estimated)",US & Canada,$16491080,US & Canada,$262673,Jul 21 1996,"$16,787,952"
The Bridge on the River Kwai,8.1,233K,"December 28, 1957 (India)","$3,000,000 (estimated)",US & Canada,$27200000,US & Canada,Not Found,Not Found,"$27,200,463"
Spider-Man: No Way Home,8.2,873K,"December 16, 2021 (India)","$200,000,000 (estimated)",US & Canada,$814115070,US & Canada,$260138569,Dec 19 2021,"$1,921,847,111"
Fargo,8.1,724K,"April 5, 1996 (United States)","$7,000,000 (estimated)",US & Canada,$24611975,US & Canada,$730265,Mar 10 1996,"$60,611,975"
Klaus,8.2,189K,"November 16, 2019 (India)","$40,000,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,
Warrior,8.1,497K,"October 31, 2015 (India)","$25,000,000 (estimated)",US & Canada,$13657115,US & Canada,$5242107,Sep 11 2011,"$23,308,615"
Catch Me If You Can,8.1,1.1M,"April 30, 2020 (India)","$52,000,000 (estimated)",US & Canada,$164615351,US & Canada,$30053627,Dec 29 2002,"$352,114,312"
Godzilla Minus One,8.3,47K,"November 3, 2023 (Japan)","$15,000,000 (estimated)",US & Canada,$56418793,US & Canada,$11419975,Dec 3 2023,"$112,795,473"
Gran Torino,8.1,813K,"March 13, 2009 (India)","$33,000,000 (estimated)",US & Canada,$148095302,US & Canada,$271720,Dec 14 2008,"$269,958,228"
My Neighbour Totoro,8.1,378K,"February 1, 2020 (India)","$3,700,000 (estimated)",US & Canada,$2250213,US & Canada,$539245,Sep 30 2018,"$30,695,952"
Million Dollar Baby,8.1,720K,"March 11, 2005 (India)","$30,000,000 (estimated)",US & Canada,$100492203,US & Canada,$179953,Dec 19 2004,"$216,763,646"
Harry Potter and the Deathly Hallows: Part 2,8.1,945K,"July 15, 2011 (India)","$125,000,000 (estimated)",US & Canada,$381447587,US & Canada,$169189427,Jul 17 2011,"$1,356,962,211"
Bacheha-Ye Aseman,8.2,80K,1997 (Iran),"$180,000 (estimated)",US & Canada,$933933,US & Canada,$20100,Jan 24 1999,"$933,933"
12 Years a Slave,8.1,740K,"January 31, 2014 (India)","$20,000,000 (estimated)",US & Canada,$56671993,US & Canada,$923715,Oct 20 2013,"$187,734,091"
Blade Runner,8.1,821K,"June 25, 2020 (India)","$28,000,000 (estimated)",US & Canada,$32914489,US & Canada,$6150002,Jun 27 1982,"$41,753,783"
Before Sunrise,8.1,338K,"December 9, 2019 (India)","$2,500,000 (estimated)",US & Canada,$5535405,US & Canada,$1423537,Jan 29 1995,"$5,992,863"
Ben-Hur,8.1,253K,"November 18, 1959 (Canada)","$15,000,000 (estimated)",US & Canada,$74432704,US & Canada,$241792,Apr 14 2019,"$74,437,981"
The Grand Budapest Hotel,8.1,883K,"July 25, 2014 (India)","$25,000,000 (estimated)",US & Canada,$59301324,US & Canada,$811166,Mar 9 2014,"$174,567,384"
Barry Lyndon,8.1,182K,1977 (India),"$11,000,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,"$260,131"
Gone Girl,8.1,1.1M,"October 31, 2014 (India)","$61,000,000 (estimated)",US & Canada,$167767189,US & Canada,$37513109,Oct 5 2014,"$369,330,536"
Hacksaw Ridge,8.1,591K,"December 16, 2016 (India)","$40,000,000 (estimated)",US & Canada,$67209615,US & Canada,$15190758,Nov 6 2016,"$180,563,636"
The Gold Rush,8.1,118K,"August 16, 1925 (United States)","$923,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,"$31,490"
